,Name ,Vol. ,Place ,Date ,Reference ,Relationships ,Uncial,Isopsephy
562,???????? ,V6,Sakkaia-Maximianopolis,356-357,ISyrie 2145; (Djebel_al_Arab p. 133 no. 7.02); (SEG XLVI 2078),,???????? ,853
563,???????? ,V6,Saba-Philippopolis,331-331,IGLS_XV_2 454; ,child of ??????,???????? ,883
564,????? ?????? ,V6,Gaulanitis--,200-699,"(Gregg-Urman_Golan 151, 1); ; SEG XLVI 1966.1",,????? ?????? ,994
565,????????? ,V6,Doura-Europos,235-240,SEG VII 396,,????????? ,721
566,??????????? ,V6,Nessana--,566-567,"PNess 23, 1-2",,??????????? ,1645
568,?????????? ,V6,"Arabia,Petra",PF6A,"PLRE III (-); PPetra IV 39, 165, 488",,?????????? ,1047
569,???? ,V6,Mariamme,byzantine,IGLS_V 2171,,???? ,104
571,?????? ,V6,Pella-Apameia,502-503,"IGLS_IV 1738, 3",child of ?????,?????? ,145
578,???????? ,V6,"Kyrrhos--,Karrhai-",P4A,DCB (2),,???????? ,353
581,????????? ,V6,Khirbat al-Samr?,byzantine,SEG VII 927; &SEG XLVIII 1942.21,,????????? ,356
585,????????? ,V6,Atarotha-Taroutia emporon,byzantine,IGLS_IV 1607,,????????? ,425
650,???????? ,V6,Nessana--,PS6A,"PNess 37, 32",child of ??????,???????? ,355
654,???????? ,V6,Saura,imperial,IGLS_XV_1 105; ,,???????? ,415
656,???????? ,V6,Charakmoba,byzantine,IMoab 272; ,child of ?????????,???????? ,363
657,????? ,V6,Doura-Europos,245-245,"TEAD 6 p. 388 no. 799, 1; TEAD 6 p. 390, 6",,????? ,144
660,????????? ,V6,?arba‘?ra,byzantine,IGLS_V 2651,,????????? ,429
661,??????? ,V6,Arra-Ma‘arrat al-Nu‘man,byzantine,IGLS_IV 1546b,,??????? ,352
662,???????? ,V6,Nessana--,P6A,"PNess 127, 3",,???????? ,424
669,??????? ,V6,Himyar,PF6A,PLRE III s.v. Abraha (-),,??????? ,414
672,??????? ,V6,?alkhad,238-244,AJPh 6 (1885) p. 210 no. 49; ,,??????? ,362
674,??????? ,V6,Bur? ?azz?w?,494-495,IGLS_II 328B,,??????? ,424
675,?????? ,V6,Sidon,imperial,"Berytus 56 (2016) p. 163 no. 22, 1; ",,?????? ,963
676,????? ,V6,Arabia,531-531,PLRE III (-),,????? ,373
677,??????? ,V6,Chalkis ad Belum,byzantine,SEG XLII 1354,,??????? ,582
678,???????? ,V6,Doura-Europos,240-240,PDura 107 i 7,,???????? ,465
679,???????? ,V6,Beathagae--,251-251,"PEuphr 8, 1, 9, 30; ",child of ???????????,???????? ,475
681,??????? ,V6,"Paneas-Kaisareia-Banias-,Batanaia",byzantine,SEG XXVIII 1347,,??????? ,344
682,????? ,V6,Doura-Europos,240-240,PDura 107 ii 14,,????? ,404
683,????????? ,V6,Skythopolis-Beit She'an,P2-3A,"SEG XXVIII 1446, 2",child of ?????????,????????? ,549
684,???????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 204; ,,???????? ,548
685,??????? ,V6,W?d? ?ajj?j,200-500,IWadi_Haggag 196; ,,??????? ,1263
686,?????? ,V6,Zahrani--,390-390,"SEG XL 1792, 3",,?????? ,634
687,?????? ,V6,Masada,byzantine,SEG XLV 1957; &SEG XLVI 2393,,?????? ,675
688,??????? ,V6,Phaine,imperial,IGLS_XV_1 52a; ,,??????? ,1043
694,??????? ???????? ,V6,?alkhad,209-217,"IMSoueida 211, 4; ",child of ??????? ????????,??????? ???????? ,2096
696,?????? ,V6,Gaulanitis--,200-699,"(Gregg-Urman_Golan 148, 3); ; SEG XLVI 2000.1",,?????? ,1123
697,?????? ,V6,Marsya,imperial,IGLS_IV 1382,,?????? ,1063
698,????? ,V6,Atarotha-Taroutia emporon,419-419,IGLS_IV 1667,,????? ,1653
699,????? ,V6,Dhak?r,imperial,IGLS_XV_2 516; ,,????? ,15
700,??????????? ,V6,Phela,P6-7A,Mango_Treasures 63,,??????????? ,326
703,?????????? ,V6,Antioch,imperial,IGLS_III_1 885,,?????????? ,430
704,????????? ,V6,"Arados,Rhodes",P1B-1A,AM 23 (1898) p. 399 no. 84,,????????? ,243
706,????????? ,Egypt,"Alexandria--,Rhodes",P2-1B,(IG XII (1) 542); PM 721,spouse of ???????,????????? ,245
707,????????? ,V6,"Antioch,Athens",-183--182,IG II<2> 2332; FRA 547,child of ??????,????????? ,985
708,?????? ,V6,"Antioch,Kalymnos",P1A,TCal 198; ,child of ????????,?????? ,215
709,????? ,V6,Kafr Shams,imperial,"IGLS_XIV.2 535, 1",,????? ,22
714,?????????? ,V6,"Laodikeia,Rhodes",hellenistic,NS 176; ,spouse of ????????,?????????? ,377
715,?????????? ,V6,Nessana--,PF7A,"PNess 79, 65",,?????????? ,437
720,??????? ,V6,"Syria,Rome",P3-4A,IG XIV 1443; ,,??????? ,225
721,???????? ,V6,"Pella-Apameia,Iasos",P2-1B,IIasos 370; ,child of ?????,???????? ,344
723,?????????? ,V6,Pella-Apameia,-11--11,"IGLS_IV 1805A; IGLS_IV 1806, 1; IGLS_IV p. 358",child of ?????????,?????????? ,406
724,?????????? ,V6,"Sidon,Sybrita",hellenistic,LeRiderMonnaiescrétoises pp. 258-9 no. 3; Stephanis 21,child of ???????,?????????? ,1258
725,?????????? ,V6,"Hierapolis-Bambike,",-125--75,EAD XXX 155; ,child of ??????????,?????????? ,150
727,????????? ,V6,"Antioch,Iasos",P3_2B,IIasos 172; ,,????????? ,342
745,?????????? ,V6,Jerusalem,475-425,CIIP_I.2 841; ; (CBCMPIPT 118),,?????????? ,434
748,????????? ,V6,Balmarcodes-,imperial,SEG XLIX 1990.6,,????????? ,834
753,?????? ,V6,Palmyra-Tadmur,imperial,PAT 2475; ,,?????? ,284
756,?????? ?????? ,V6,Tyre,41-54,"ITyr_II 377, 1; BE 2007, no. 516",,?????? ?????? ,1189
757,?????????? ,V6,Zoara,314-359,IPalTertia_Ia 19; ,child of ?????????,?????????? ,1539
758,????? ,V6,"Syria,Delphi",-143--142,SGDI 2203; ,,????? ,814
759,?????? ,V6,"Babylon,Didymoteichon--",PF3B,IThrakAig E465,sibling of ??????????,?????? ,864
766,?????? ,V6,Phaine,imperial,IGLS_XV_1 22b; ,child of ?????,?????? ,285
767,??????? ,V6,Doura-Europos,P2A,SEG VII 448a,child of ??????????,??????? ,263
768,???????? ,V6,Amathe/Epiphaneia,344-344,IGLS_IV 1908,,???????? ,663
774,??????? ,V6,Ib?a‘,imperial,"IGLS_XIV_1 363, 4",child of ???????,??????? ,365
783,?????? ,V6,Beth Govrin-Eleutheropolis,byzantine,SEG XL 1453,,?????? ,295
784,????? ,V6,Adraa,imperial,IGLS_XIV_1 28a,child of ?????????,????? ,113
794,??????? ,V6,Arados,P6_5B,Hdt vii 98,,??????? ,307
795,????? ,test,Palmyra-Tadmur,225-225,IGLS_XVII.1 377; ,child of ????????,????? ,17
796,??????? ,V6,Nessana--,P6A,"PNess 35, 6",,??????? ,288
802,????????? ,test,Palmyra-Tadmur,125-175,IGLS_XVII.1 445; ,,????????? ,349
803,????? ,V6,Doura-Europos,imperial,TEAD 5 p. 123 no. 427,,????? ,208
804,?????? ?????????? ,V6,Emesa,P2A,"IGLS_V 2302, 4",,?????? ?????????? ,803
805,?????? ,V6,Doura-Europos,P2-3A,TEAD 6 p. 252 no. 756; TEAD 6 p. 252 no. 757,,?????? ,282
806,???? ,test,Palmyra-Tadmur,214-216,IGLS_XVII.1 257; ,child of ??????,???? ,15
807,???????? ,V6,Adraa,imperial,IGLS_XIII_2 9776; ,,???????? ,488
808,????????? ,test,Palmyra-Tadmur,-49-0,IGLS_XVII.1 177; Notables p. 178; IGLS_XVII.1 402; IGLS_XVII.1 403,,????????? ,461
809,????? ,V6,Doura-Europos,P2A,"SEG VII 376, 4",,????? ,277
813,?????? ,test,Palmyra-Tadmur,132-132,IGLS_XVII.1 150; ,child of ?????????,?????? ,282
818,?????? ,V6,Arados,-230--200,BCH 45 (1921) p. 5 I,,?????? ,962
820,???? ,V6,Pella-Apameia,412-413,"IGLS_IV 1739bis, 3",,???? ,212
821,?????????? ,V6,"Berytos,",PS2B,ID 2611 a; ,,?????????? ,637
822,????????? ,V6,Motho,byzantine,IMoab 317; ,child of ???????,????????? ,523
823,????? ,V6,Kaisareia,500-600,CIIP_II 1785; ,,????? ,215
824,??????? ,V6,Telmenissos-Maratomyrton,byzantine,"IGLS_IV 1573c, 3",,??????? ,734
825,??????? ,V6,Saba-Philippopolis,imperial,IGLS_XV_2 413,,??????? ,355
826,????? ,V6,Aerita,imperial,IGLS_XV_2 330; ,,????? ,324
827,???? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 159; ,child of ??????,???? ,274
835,??????? ,V6,Doura-Europos,imperial,TEAD 5 p. 71 no. 408c,,??????? ,434
836,???????? ,V6,Pella-Apameia,PF2A,"SEG LII 1552, 4; SEG LII 1554, 1; SEG LII 1555, 1; SEG LII 1556, 1; SEG LII 1557, 1; SEG LII 1558, 1; SEG 1559, 1; SEG 1560, 1",,???????? ,475
885,??????????? ,V6,Al Hay?t,imperial,Rec_arch_or 1 (1888) p. 19 no. 35; ,child of ???????,??????????? ,605
886,????????? ,V6,Paneas-Kaisareia-Banias-,221-222,"IGLS_XI pp. 104-5 A.17, 9; ",spouse of ????????,????????? ,485
887,????????? ,V6,Birtha,imperial,IGLS_XV_2 465; ,other relative of ?????????,????????? ,335
891,????????????? ,V6,Berytos,211-211,"AEp 2007, no. 1612, 1; AEp 2007, no. 1613, 1",,????????????? ,665
892,?????????? ,V6,Chasa,PM4A,"IGLS_IV 1523, 4",,?????????? ,604
904,????????? ,V6,Armenia,PM4A,SeeckLibanius p. 50 no. 1,,????????? ,484
906,???????? ,V6,Syria,250-375,SEG XXXIX 1755b; SEG LVIII 1866,child of ????????,???????? ,474
907,????????? ,V6,Palmyra-Tadmur,P3A,IBeth_Shearim 95; ,,????????? ,742
908,????? ,V6,"Laodikeia,",-125--75,EAD XXX 336 bis; ; EAD XXX 336 bis,,????? ,954
910,???????? ,V6,Laodikeia,P2A,XEph iv 5. 1 and 6,,???????? ,915
911,??? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 27; ,,??? ,6
912,?????????? ,V6,Doura-Europos,235-240,"SEG VII 381, 3",,?????????? ,383
913,??????????? ,V6,Doura-Europos,imperial,TEAD 5 p. 293 no. 601a,child of ?????????,??????????? ,386
914,??????????? ,V6,Doura-Europos,P2-3A,"TEAD 6 p. 37 no. 617, 5",child of ?????????,??????????? ,387
915,????????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 112 no. 416, 6; (IMDamas p. 10 no. 5)",child of ??????????,????????? ,293
917,?????????? ,V6,Doura-Europos,54-54,"TEAD 5 p. 114 no. 418, 12","child of ??????????,=? ?????????",?????????? ,297
918,????????????? ,V6,Spasinou Charax,-300--100,CIS_II 72; ,,????????????? ,934
919,?????? ,V6,Doura-Europos,imperial,"SEG VII 656, 1; &TEAD 5 p. 17",,?????? ,280
920,????????? ,V6,Doura-Europos,195-195,PDura 100 xli 20,child of ?????????,????????? ,483
921,???? ,V6,Marisa,P3-2B,"IMarisa p. 70 no. 4, 2 +Add.",,???? ,16
922,?????? ,V6,Doura-Europos,87-89,"PDura 18 recto 10, 31; PDura 19, 18",,?????? ,286
936,?????? ,V6,Persia--,363-363,PLRE I (-),,?????? ,234
937,???? ??????? ,V6,Marisa,P2A,"SEG VIII 246, 1",,???? ??????? ,631
938,?????????? ,V6,Antioch,P4A,PLRE I (-); SeeckLibanius p. 48 no. 2,,?????????? ,677
940,??????? ,V6,Charakmoba,byzantine,IMoab 295; ,,??????? ,326
941,????????? ,V6,Persia--,309-309,RE (-); PLRE I (-),child of ????????,????????? ,565
942,?????????? ,V6,Persia--,PS6A,PLRE III (),,?????????? ,406
943,???????? ,V6,Doura-Europos,P2A,"SEG VII 376, 3",,???????? ,367
944,??????? ,V6,Dayr M?kir,PM2A,"IGLS_XIV.2 507, 3",,??????? ,315
945,???? ,V6,Doura-Europos,P1-2A,"SEG VII 712, 8",,???? ,10
946,??????? ,V6,Doura-Europos,54-54,"TEAD 5 p. 114 no. 418, 13",child of ??????????,??????? ,290
962,????? ,V6,Doura-Europos,204-204,PDura 100 xii 9,child of ??????????,????? ,210
971,??????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 179 no. 507, 6",,??????? ,285
972,?????? ,V6,Doura-Europos,imperial,"TEAD 7/8 p. 174 no. 882, 2",,?????? ,284
978,???? ,V6,Adraa,imperial,"IGLS_XIV_1 29, 1",child of ???????,???? ,17
979,????? ,V6,Elousa,byzantine,IPalTertia_west 69,,????? ,18
980,????????? ,V6,Az Zalaf,P2A,Syria 37 (1960) p. 97,,????????? ,344
981,???????? ,V6,Doura-Europos,194-194,TEAD 6 p. 172 no. 693,,???????? ,135
982,????? ,V6,D?‘il,imperial,"IGLS_XIV_1 354, 2",child of ?????,????? ,279
992,?????????? ,V6,Doura-Europos,P3A,"TEAD 6 p. 171 no. 691a, 1",,?????????? ,742
995,?????????? ,test,Palmyra-Tadmur,P2A,IGLS_XVII.1 183; ,"child of ??????????,=? ??????????",?????????? ,804
1000,?????????? ?????? ,test,Palmyra-Tadmur,25-75,IGLS_XVII.1 21; ; IGLS_XVII.1 312,=? ??????,?????????? ?????? ,2304
1003,???????? ,V6,A? ?umayr,259-319,Dussaud_Macler_Voyage p. 209 no. 102; ,child of ??????,???????? ,707
1004,????? ,V6,Doura-Europos,32-36,"SEG II 821, 2; TEAD 5 p. 195 no. 544, 2","child of ????????,spouse of ??????????",????? ,21
1006,??????? ,V6,Khirbat al-Samr?,imperial,SEG XLVIII 1941,,??????? ,230
1007,?????? ,V6,Phaine,imperial,IGLS_XV_1 7,child of ????????,?????? ,290
1012,???????? ,test,Palmyra-Tadmur,110-130,IGLS_XVII.1 181; ,child of ????????,???????? ,138
1013,???????? ,V6,Antioch,371-371,RE (2),,???????? ,820
1017,?????? ,V6,Phaine,imperial,IGLS_XV_1 22c; ,,?????? ,320
1018,????? ,V6,Doura-Europos,P2-3A,TEAD 7/8 p. 217 no. 900,,????? ,280
1023,???????????????? ,V6,Persia--,475-541,PLRE III (-),,???????????????? ,1322
1024,?????? ,V6,Birtha,imperial,IGLS_XV_2 471; ,,?????? ,380
1025,?????? ,V6,Persia--,615-630,PLRE III (-),,?????? ,318
1026,??? ,V6,Nihatha,imperial,"SEG XL 1418a, 1",child of ?????,??? ,13
1027,???? ,V6,Beth Govrin-Eleutheropolis,P6-7A,SEG XL 1456 A 5,,???? ,53
1028,???????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 125 no. 439, 2",,???????? ,318
1029,?????? ,V6,"Pharan,W?d? La?m?",PF6A,SEG L 1573,,?????? ,289
1030,???????? ?????????? ,V6,Berytos,117-138,"AEp 1912, no. 179, 10",,???????? ?????????? ,1454
1031,?????? ,V6,?alkhad,358-359,MSM II 42; (Djebel_al_Arab p. 147 no. 10.12),,?????? ,266
1032,????? ,V6,Khirbat al-Samr?,byzantine,SEG XLVIII 1942.33,,????? ,135
1033,????? ,V6,Nessana--,572-572,PNess 28 fr. 2,,????? ,285
1040,???????? ,V6,Berytos,imperial,"IMnBeyrouth 27, 5; ",,???????? ,1685
1042,?????? ,V6,?alkhad,363-364,MSM II 42; ,,?????? ,316
1043,?????? ,V6,W?d? ?ajj?j,200-500,IWadi_Haggag 105; ,child of ???????,?????? ,485
1044,????? ,V6,Khirbat al-Samr?,634-634,SEG XLVIII 1937,,????? ,865
1045,????????? ,V6,Doura-Europos,104-104,"SEG VII 692, 2",,????????? ,956
1046,??????? ,V6,"Syria,Pompeii",P1A,CIL IV 10189,,??????? ,623
1047,?????? ,V6,Antioch,P4_5A,PLRE II (-); DCB (-),,?????? ,116
1049,??????? ,V6,Armenia,500-543,RE (-); PLRE III (-),child of ???????,??????? ,385
1050,???? ,V6,Phaine,imperial,IGLS_XV_1 23a; ,,???? ,275
1052,?????????? ,V6,Bostra,P2A,IGLS_XIII_2 9508; ,spouse of ?????????,?????????? ,891
1053,????????? ,V6,Adraa,imperial,"IGLS_XIV_1 30, 1",child of ????????,????????? ,1100
1054,?????? ,V6,Karmiel--,P5-6A,"SEG LXIII 1566, 10",,?????? ,485
1055,??????? ,V6,Damatha,imperial,IGLS_XV_2 326; ,child of ???????,??????? ,945
1056,??????? ,V6,Umm al Qi??ayn,100-600,IGLS_XXI_5 734; ,,??????? ,386
1058,???????? ,V6,"Antioch,Germania Inferior--",imperial,CIL XIII 8843,,???????? ,876
1059,??????????? ,V6,al-Wa????,imperial,IGLS_II 344,,??????????? ,1686
1060,???????? ,V6,Doura-Europos,202-215,PDura 98 v 18,,???????? ,436
1077,??????? ,V6,Dion,imperial,"IGLS_XIV_1 308, 3",,??????? ,485
1078,????? ,V6,Khirbat Sa?ar,imperial,IGLS_XV_1 45; ,,????? ,375
1081,?????? ,V6,Amathe/Epiphaneia,478-478,"IGLS_IV 1977B, 2",,?????? ,1065
1082,?????? ,V6,Khirbat al-Samr?,P2-4A,SEG LXIII 1621,child of ?????????,?????? ,284
1083,???? ,V6,Hauran-Aurana-,P2-4A,SEG LI 2059 iii,"child of ?????,spouse of ????????",???? ,15
1084,????? ,V6,Bostra,imperial,"IGLS_XIII_1 9210, 2; ",,????? ,280
1096,??????? ,V6,Porphyreon polis-Khan Nebi Yunas-,573-574,"SEG XL 1786, 1; ",,??????? ,275
1100,???????? ,V6,Berytos,P6A,SEG XL 1776,,???????? ,325
1101,????? ,V6,Doura-Europos,imperial,"SEG VII 467, 10",,????? ,217
1102,????? ,V6,Sin,258-259,IGLS_V 2179 b,,????? ,19
1103,???????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 178 no. 505, 5",=? ??????????,???????? ,326
1104,????????? ,test,Palmyra-Tadmur,1-50,IGLS_XVII.1 29; ,,????????? ,342
1105,????????? ???????? ,test,Palmyra-Tadmur,101-150,IGLS_XVII.1 29; ,child of ??????????,????????? ???????? ,994
1106,?????? ,V6,Nessana--,P6A,"PNess 38, 4",,?????? ,290
1107,???????? ,V6,Nessana--,P6-7A,"PNess 106, 7",,???????? ,70
1108,???????? ,V6,Antioch,PF6A,Procop ii 11. 8,,???????? ,927
1109,?????? ,V6,Kyrrhos--,PM5A,PLRE II (-),,?????? ,386
1110,????? ,V6,Doura-Europos,P1A,SEG VII 722,,????? ,376
1111,????? ,V6,Doura-Europos,223-225,PDura 67 vi 22,child of ???????,????? ,1056
1112,?????? ,V6,Besara-Beth She‘arim,200-400,IEJ 7 (1957) p. 239; ,,?????? ,436
1115,?????? ,V6,"Antioch,Alexandria,Byzantion",300-367,RE (6); DCB (-),,?????? ,586
1122,?????? ,V6,Nessana--,PS6A,"PNess 37, 45",,?????? ,244
1123,?????? ,V6,Doura-Europos,235-240,"SEG VII 403, 1",,?????? ,78
1124,?????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 16 no. 372, 2",,?????? ,329
1125,???????? ,V6,"Syria,Chalkis",hellenistic,IG XII (9) 1139; ,,???????? ,680
1126,???????? ,V6,Persia--,531-544,PLRE III (-),,???????? ,331
1127,???????????? ?????? ,test,Palmyra-Tadmur,25-75,IGLS_XVII.1 262; IGLS_XVII.1 463,,???????????? ?????? ,779
1128,??????? ,V6,Choziba,P6-7A,RQ 39 (1931) p. 325 no. 150,,??????? ,320
1131,??????? ,V6,Nelkomia-Neela-Al Mushannaf,96-97,"IMSoueida 75, 5; ",other relative of ????????,??????? ,354
1132,???????? ,V6,Adraa,imperial,"IGLS_XIV_1 183, 3",,???????? ,390
1133,?????? ,V6,Adraa,imperial,"IGLS_XIV_1 197, 2",,?????? ,290
1135,??????? ,V6,Eutimia-al-??rrah,imperial,"IGLS_XIV.2 501, 2",,??????? ,300
1149,????????? ,V6,Tyre,-375--320,RE (-); Berve 25,,????????? ,383
1150,????? ,V6,Heliopolis,P3-4A,SEG XXX 1674,,????? ,283
1152,??????? ,V6,Doura-Europos,P3A,PDura 47 i 7,,??????? ,296
1154,??????? ,V6,Atarotha-Taroutia emporon,byzantine,IGLS_IV 1671,child of ?????,??????? ,302
1155,???????? ,V6,Nessana--,541-541,"Nessana I p. 181 no. 114, 1",child of ?????,???????? ,201
1156,??????? ,V6,Sachama,PS3A,"IGLS_V 2577, 4",,??????? ,1066
1157,??????? ,V6,Adraa,imperial,"IGLS_XIV_1 31, 1",child of ????????,??????? ,300
1159,??????? ,V6,Kan?kir,byzantine,IGLS_XIV.2 608,,??????? ,885
1160,?????? ,V6,Doura-Europos,214-214,PDura 100 ix 3; PDura 101 xiv [14]; PDura 102 iv 6,child of ?????????,?????? ,295
1186,?????? ?????? ,V6,Umm al Qi??ayn,100-600,IGLS_XXI_5 701; ,,?????? ?????? ,674
1219,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 163; ,child of ???????,?????? ,107
1220,???????? ,V6,Eboda,577-577,"INegev 19, 2; (SEG XXVIII 1395)",child of ????????,???????? ,197
1221,????????? ,V6,Nessana--,P6-7A,"PNess 181, 6",,????????? ,397
1222,??????? ,V6,Rehoboth,588-588,"IPalTertia_west 85, 1; Nessana I p. 181",,??????? ,191
1223,???????? ,V6,Rehoboth,byzantine,IPalTertia_west 100; Nessana I p. 181,child of ?????,???????? ,192
1224,?????? ,V6,Atarotha-Taroutia emporon,489-489,"SEG LI 1958, 5",,?????? ,519
1225,??????? ,V6,Sidon,P2B,RevBibl NS 1 (1904) p. 552 no. 4; LGPN I (1),,??????? ,683
1226,????? ,V6,Sidon,imperial,"SEG L 1403, 1; ",,????? ,22
1227,??????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 83; ,,??????? ,272
1228,???????? ,V6,Kafr N?sij-KPR NSG,P2-3A,"IGLS_XIV.2 532c, 1",child of ?????,???????? ,372
1229,?????? ,V6,Jerusalem,40-41,CIIP_I.1 676; ; CIIP_I.1 677; CIIP_I.1 678,,?????? ,252
1230,??????? ,V6,Charakmoba,imperial,SBF 9 (1958-9) p. 357 no. 10,child of ???????,??????? ,361
1232,??????? ,V6,Marisa,P3-2B,SEG XXXIV 1495,,??????? ,122
1233,???????? ,V6,Antioch,P6A,Dan._Scet. +Andron. 2 ff.,"child of ???????,spouse of ??????????",???????? ,273
1237,????????? ,V6,Nessana--,P6-7A,"PNess 90, 73, 100",,????????? ,542
1248,???????? ,V6,Mesopotamia,P6-7A,Wright_Catalogue_BM 2 p. 422 no. 552; ,,???????? ,472
1251,?????? ,V6,Charakmoba,549-560,IMoab 229; ,child of ?????,?????? ,269
1252,???????? ,V6,Amathe/Epiphaneia,145-145,"IGLS_IV 1928, 7",,???????? ,412
1253,???? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 122; ,,???? ,211
1254,??????? ,V6,Saura,imperial,IGLS_XV_1 146; ,child of ??????,??????? ,682
1255,????? ,V6,Beth Phouraia--,244-244,"PEuphr 12, 12; ",child of ??????,????? ,75
1256,?????? ,V6,Adraa,imperial,"IGLS_XIV_1 163, 3",,?????? ,325
1261,??????? ,V6,Amathe/Epiphaneia,PM3A,"IGLS_IV 1974, 5",,??????? ,291
1262,????????? ,V6,Palmyra-Tadmur,151-200,IGLS_XVII.1 477; ,child of ???????,????????? ,312
1263,????????? ???????????? ,V6,Palmyra-Tadmur,125-175,IGLS_XVII.1 543; ,,????????? ???????????? ,1124
1268,?????????? ,V6,Jerusalem,-100-100,CIIP_I.1 456; ,,?????????? ,443
1270,?????????? ,V6,Palmyra-Tadmur,98-98,IGLS_XVII.1 513; ,child of ?????????,?????????? ,399
1271,?????????? ????????? ,test,Palmyra-Tadmur,-75--25,IGLS_XVII.1 12; IGLS_XVII.1 535,,?????????? ????????? ,983
1272,???????? ,V6,"Syria,Ilion,Erythrai",PF3B,WellesRC 12; GraingerSPG pp. 83-4; IEK 24,,???????? ,349
1277,??????? ,V6,Bostra,imperial,IGLS_XIII_2 9516; ,,??????? ,279
1279,?????? ,V6,Doura-Europos,P1-2A,SEG VII 446,,?????? ,269
1280,??????? ,V6,Marisa,P3-2B,SEG XLII 1445,,??????? ,198
1285,?????? ,V6,Doura-Europos,imperial,SEG VII 777,,?????? ,278
1287,??????? ,V6,Gerasa,43-93,"IGerasa 4, 4; ",child of ??????,??????? ,928
1293,????????? ,V6,Antioch,-134--134,RE Supplbd. 4 (2),,????????? ,420
1294,?????????? ,V6,Pella-Apameia,byzantine,"IGLS_IV 1822, 7",,?????????? ,404
1296,?????????? ,V6,Doura-Europos,imperial,TEAD 5 p. 22 no. 390,,?????????? ,651
1297,?????????? ,V6,Doura-Europos,180-180,"PDura 25, 3, 18",child of ???????????,?????????? ,782
1300,????????? ,V6,Kafr N?sij-KPR NSG,P2-3A,"IGLS_XIV.2 532d, 1",child of ????????,????????? ,1043
1308,?????????? ,V6,Sarisa-Quneitra,200-699,"(Gregg-Urman_Golan 216, 2); ; SEG XLVI 1983.10",,?????????? ,1312
1312,?????????? ?????????? ,V6,Doura-Europos,159-159,"SEG II 755, 3; &SEG VII 800",child of ??????????? ??????????,?????????? ?????????? ,1741
1321,?????????? ??????? ,V6,Doura-Europos,60-61,"SEG II 797, 1; &SEG VII 800",,?????????? ??????? ,1939
1355,?????? ,V6,W?d? Mukattab,imperial,Lepsius_Denkmaeler Abth. VI Bl. 18 no. 104 bis; ,,?????? ,338
1356,????????? ,V6,Doura-Europos,39-40,"SEG VII 690, 2","child of ????????,spouse of ???????????",????????? ,679
1362,?????????? ,V6,Doura-Europos,61-62,SEG II 795; &SEG VII 800,,?????????? ,948
1363,????? ,V6,"Emesa,Intercisa-Dunaújváros",231-250,RIU 1195; (Lörincz 317),child of ???????,????? ,868
1364,??????? ,V6,Palmyra-Tadmur,275-325,IGLS_XVII.1 483; ,child of ??????,??????? ,1021
1365,?????? ,V6,Sidon,imperial,"IMnBeyrouth 153, 1; ",,?????? ,31
1368,??????? ,test,Palmyra-Tadmur,67-67,IGLS_XVII.1 402; Notables p. 178,child of ???????,??????? ,231
1369,??????? ,V6,Ossa,134-134,"PDura 23, 2, 7, 11",child of ??????????,??????? ,300
1370,????? ,V6,Zoara,398-443,IPalTertia_Ia 174; ,child of ??????????,????? ,58
1371,?????? ,V6,Adraa,imperial,"IGLS_XIV_1 32, 2",,?????? ,890
1375,???? ,V6,Mashq?q --,imperial,"Melanges_Dussaud p. 564 no. 264, 3; ",,???? ,280
1377,???????? ,V6,Umm al Qi??ayn,100-600,IGLS_XXI_5 721; ,,???????? ,325
1378,????? ,V6,Ainauatha,615-620,IMoab 382; ,,????? ,29
1379,??????? ,V6,Laodikeia near Libanon,PF2A,"IGLS_V 2668, 4",,??????? ,341
1380,??????? ,V6,Heliopolis,imperial,IGLS_VI 2908; ,,?????? ,292
1381,?????? ,test,"Phaina,Phaino",-31-310,IGLS_XXI_4 141; ,,?????? ,312
1382,?????? ,V6,Samosata--,imperial,SEG VII 49,,?????? ,353
1383,?????? ,V6,Doura-Europos,214-225,PDura 12 verso x 20,,?????? ,270
1384,?????? ??????? ,V6,Bostra,100-600,IGLS_XXI_5 165; ,child of ??????,?????? ??????? ,547
1388,?????? ,V6,Luzit,byzantine,SEG XL 1486,,?????? ,272
1390,?????? ,V6,Paneas-Kaisareia-Banias-,P1_2A,"IPhilae 170, 5; ColossedeMemnon 69, 5",child of ?????,?????? ,332
1398,???? ,V6,Aire,45-46,"IGLS_XIV.2 558, 4",child of ?????,???? ,212
1404,?????? ,V6,Kanatha,623-623,IGLS_XIII_2 9858; ,,?????? ,482
1405,?????? ,V6,Agraina,imperial,IGLS_XV_1 289; ,,?????? ,582
1406,????????? ,V6,Remmona,imperial,IGLS_XIII_2 9606; ,child of ???????,????????? ,498
