,Name ,Vol. ,Place ,Date ,Reference ,Relationships ,Uncial,Isopsephy
6669,??????????? ,V6,Tyre,150-200,IMnBeyrouth 324; BMB 18 (1965) pp. 48-9,,??????????? ,1978
6670,??????????? ,V6,Tyre,136-136,IMnBeyrouth 328; (SEG XLIX 2032.1),,??????????? ,2047
6671,??????? ,V6,Sachare da-Aouarae,227-227,"PDura 26, 9",,??????? ,1130
6672,?????? ?????? ,test,Palmyra-Tadmur,-49-0,IGLS_XVII.1 16; IGLS_XVII.1 17; PAT 261,,?????? ?????? ,1706
6673,????????? ,V6,Palmyra-Tadmur,25-75,IGLS_XVII.1 516; ,,????????? ,1121
6675,???????? ,V6,Doura-Europos,194-194,TEAD 6 p. 171 no. 690,,???????? ,1115
6676,??????? ,V6,Doura-Europos,200-200,PDura 100 xxxiv 18; PDura 101 xxxiv 16,child of ???????,??????? ,1113
6678,??????? ,V6,Doura-Europos,203-203,PDura 98 i 11,,??????? ,1153
6688,????? ,V6,"Palmyra-Tadmur,Potaissa-Turda",131-270,CIL III 907,child of ????????,????? ,1033
6689,?????????? ,test,Palmyra-Tadmur,1-50,IGLS_XVII.1 461; ,,?????????? ,1806
6690,?????? ,V6,Palmyra-Tadmur,104-104,IGLS_XVII.1 516; ,child of ????????,?????? ,1045
6691,???????? ,test,Palmyra-Tadmur,25-75,IGLS_XVII.1 152; ,,???????? ,1125
6693,?????????? ,V6,Doura-Europos,214-214,PDura 100 ix 2; PDura 101 xiv 13; PDura 102 iv 5,child of ???????,?????????? ,1128
6696,???????? ,test,Palmyra-Tadmur,125-175,IGLS_XVII.1 157; ,,???????? ,1055
6698,???????? ,V6,Doura-Europos,204-204,PDura 100 xxxv 8,,???????? ,1163
6699,?????? ,V6,Palmyra-Tadmur,175-225,IGLS_XVII.1 546; ,,?????? ,1110
6703,?????? ????? ,test,Palmyra-Tadmur,200-300,IGLS_XVII.1 22; ,,?????? ????? ,1328
6706,????????? ,V6,Palmyra-Tadmur,125-175,IGLS_XVII.1 523; ,child of ??????,????????? ,1742
6707,????? ,V6,Zoara,362-362,IPalTertia_Ia 211; ,,????? ,1122
6708,????? ,V6,Doura-Europos,223-225,PDura 67 iii 6,,????? ,1103
6712,????? ,V6,Doura-Europos,199-199,PDura 100 xxxii 1; PDura 101 xxxii 12,child of ????????,????? ,1110
6714,??????? ,V6,Palmyra-Tadmur,119-119,IGLS_XVII.1 540; ,"child of ????????,=? ???????",??????? ,1673
6719,?????? ,test,Beelmaous,311-999,IGLS_XXI_2 164; ,,?????? ,1710
6720,?????? ,test,Wadi Rum,311-999,IGLS_XXI_4 149; SEG XLVI 2051,,?????? ,1158
6721,?????? ,V6,Amathe/Epiphaneia,byzantine,IGLS_IV 1925,,?????? ,306
6722,??????? ,V6,Arabia,P5_6A,PLRE II (-),,??????? ,238
